Atlanten	اقیانوس اطلس
inlevelse	بینش، درون بینی، تشخیص یا وارد شدن در احساس دیگران و فهمیدن آنچه که دیگران احساس می کنند.
inlägg	چین، تا، بالا زدگی، ادا، اظهار، کفی کفش
inlämning	تحویل، واگذاری، یادگیری
inlät	زمان گذشته از:، آغاز کردن، مبادرت ورزیدن
inlåta	آغاز کردن، مبادرت ورزیدن
inlåter	زمان حال از:، آغاز کردن، مبادرت ورزیدن
inlåtit	ماضی نقلی و بعید از:، آغاز کردن، مبادرت ورزیدن
innan	قبل از اینکه، پیش از، قبل از
innanför	در داخل، از توی، پشت
innantill	از رو
inne	در، داخل (خانه)، موجود، مانده
innebar	زمان گذشته از:، معنی دادن، در بر داشتن
inneboende	طبیعی، حقیقی، ذاتی، مستأجر، ساکن منزل
inneburit	ماضی نقلی و بعید از:، معنی دادن، در بر داشتن
innebär	زمان حال از:، معنی دادن، در بر داشتن
innebära	معنی دادن، در بر داشتن
innebörd	معنی، مفهوم، محتوی
inneha	در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehade	زمان گذشته از:، در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehaft	ماضی نقلی و بعید از:، در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehar	زمان حال از:، در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehav	اشغال، تصرف، تملک
innehava	در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehavare	دارنده - اشغال کننده، صاحب، مالک
innehaver	زمان حال از:، در تصرف ... بودن، در اشغال داشتن، تصرف کردن
innehåll	محتوی
innehålla	در برداشتن، شامل بودن، محتوی داشتن، نگاهداشتن، حفظ کردن
innehåller	زمان حال از:، در برداشتن، شامل بودن، محتوی داشتن، نگاهداشتن، حفظ کردن
innehållit	ماضی نقلی و بعید از:، در برداشتن، شامل بودن، محتوی داشتن، نگاهداشتن، حفظ کردن
innehållsförteckning	فهرست راهنما
innehållslös|innehållslöst	پوچ، خالی، بی محتوی
innehöll	زمان گذشته از:، در برداشتن، شامل بودن، محتوی داشتن، نگاهداشتن، حفظ کردن
inner	بازیکن فوروارد
innerdel	قسمت درونی
innerdörr	در داخلی
innerlig|innerligt	صمیمی، خودمانی، بی ریا، از ته دل، فداکار، علاقه مند، با حرارت، پر شور و شعف
innerlig avsky|innerlig	نفرت شدید
innerlig kärlek|innerlig	عشق آتشین
innerst	درون، در میان، از صمیم قلب، باطناً
innestående	سپرده، امانتی، در حساب، فعلی، کنونی، جاری
innovation	بدعت گذاری، ابداع - چیز تازه
inom	در، درون، داخل، در ظرف، در مدت، در عرض
inom synhåll|synhåll	در نظر، زیر نظر
inomhus	درون خانه
inordning	تطبیق، منضبط، باقاعده و ترتیب
inpå	در روی، در، نزدیک
inre	داخلی، درونی، ذاتی، باطنی، درون، داخل، حقیقی، واقعی
inre stridigheter|stridighet	اختلافات داخلی
inreda	آماده کردن، تجهیز کردن، آراستن، مرتب کردن
inredde	زمان گذشته از:، آماده کردن، تجهیز کردن، آراستن، مرتب کردن
inreder	زمان حال از:، آماده کردن، تجهیز کردن، آراستن، مرتب کردن
inredning	مرتب سازی، ترتیب، تجهیزات (در جمع)
inregistrera	ثبت کردن در، وارد کردن- بایگانی کردن
inregistrerade	زمان گذشته از:، ثبت کردن در، وارد کردن- بایگانی کردن، 
inregistrerar	زمان حال از:، ثبت کردن در، وارد کردن- بایگانی کردن
inregistrerat	ماضی نقلی و بعید از:، ثبت کردن در، وارد کردن- بایگانی کردن، 
inrett	ماضی نقلی و بعید از:، آماده کردن، تجهیز کردن، آراستن، مرتب کردن
inrikes	داخلی، کشوری، درون کشور
inrikesflyg	هواپیمای کشوری
inrikta	تنظیم کردن، جهت یابی کردن، توجه خود را جلب کردن به
inrikta sin strävan på att|strävan	برای اینکه   ...کوشیدن
inriktade	زمان گذشته از:، تنظیم کردن، جهت یابی کردن، توجه خود را جلب کردن به
inriktar	زمان حال از:، تنظیم کردن، جهت یابی کردن، توجه خود را جلب کردن به
inriktat	ماضی نقلی و بعید از:، تنظیم کردن، جهت یابی کردن، توجه خود را جلب کردن به
inriktning	تنظیم، میزان، مسیر، هدف، نشانه روی، هدف گیری
inrotad	ریشه دوانیده
inrätta	بر پا کردن، تأسیس کردن، دایر کردن، شروع کردن، سازمان دادن، نظم دادن، سرو سامان دادن، خود را وفق دادن
inrättade	زمان گذشته از:، بر پا کردن، تأسیس کردن، دایر کردن، شروع کردن، سازمان دادن، نظم دادن، سرو سامان دادن، خود را وفق دادن
inrättar	زمان حال از:، بر پا کردن، تأسیس کردن، دایر کردن، شروع کردن، سازمان دادن، نظم دادن، سرو سامان دادن، خود را وفق دادن
inrättat	ماضی نقلی و بعید از:، بر پا کردن، تأسیس کردن، دایر کردن، شروع کردن، سازمان دادن، نظم دادن، سرو سامان دادن، خود را وفق دادن
insamling	جمع آوری
insats	تکه، الحاق - وصله، گرو، شرط، انجام،  پیروزی، کار بزرگ، دسترنج
insatslägenhet	آپارتمان سرقفلی دار
insatt	وارد، آشنا، آگاه، واقف
inse	بینش داشتن، فهمیدن، پی بردن، ملتفت شدن
insekt	حشره
insemination	تلقیح، بارورسازی مصنوعی
inseminera	بطو مصنوعی باردار کردن، تلقیح کردن
inser	زمان حال از:، بینش داشتن، فهمیدن، پی بردن، ملتفت شدن
insett	ماضی نقلی و بعید از:، بینش داشتن، فهمیدن، پی بردن، ملتفت شدن
insida	درون، داخل
insikt	بینش، بصیرت، شناخت، آگاهی، دانش، فهم، شعور، عقل
insinuation|insinuationen|insinuationer	ریشخند، کنایه
insinuera	بطور ضمنی فهماندن، تلقین کردن، القاء کردن، پافشاری کردن، اصرار ورزیدن، ایستادگی کردن
insinuerade	زمان گذشته از:، بطور ضمنی فهماندن، تلقین کردن، القاء کردن، پافشاری کردن، اصرار ورزیدن، ایستادگی کردن
insinuerar	زمان حال از:، بطور ضمنی فهماندن، تلقین کردن، القاء کردن، پافشاری کردن، اصرار ورزیدن، ایستادگی کردن
insinuerat	ماضی نقلی و بعید از:، بطور ضمنی فهماندن، تلقین کردن، القاء کردن، پافشاری کردن، اصرار ورزیدن، ایستادگی کردن
insjukna	مریض شدن، ناخوش شدن
insjuknade	زمان گذشته از:، مریض شدن، ناخوش شدن
insjuknande	مریض، ناخوشی
insjuknandedag	روز مریضی
insjuknar	زمان حال از:، مریض شدن، ناخوش شدن
insjuknat	ماضی نقلی و بعید از:، مریض شدن، ناخوش شدن
insjö	دریاچه، دریاچه محلی، دریاچه آب شیرین
inskrivning	ثبت نام، نام نویسی
inskränka	محدود کردن، تعیین کردن، کاستن، کم کردن، صرفه جویی کردن، از مخارج خود کاستن
inskränker	زمان حال از:، محدود کردن، تعیین کردن، کاستن، کم کردن، صرفه جویی کردن، از مخارج خود کاستن
inskränkning	محدودسازی، محدودیت، کاهش
inskränkt	ماضی نقلی و بعید از:، محدود کردن، تعیین کردن، کاستن، کم کردن، صرفه جویی کردن، از مخارج خود کاستن
inskränkte	زمان گذشته از:، محدود کردن، تعیین کردن، کاستن، کم کردن، صرفه جویی کردن، از مخارج خود کاستن
inslag	نخ ماشین بافت، جزء اصلی، رکن - قسمت برجسته - سهم صفات و خصوصیات اخلاقی، برنامه
inspektera	بازرسی کردن، بررسی کردن
inspekterade	زمان گذشته از:، بازرسی کردن، بررسی کردن
inspekterar	زمان حال از:، بازرسی کردن، بررسی کردن
inspekterat	ماضی نقلی و بعید از:، بازرسی کردن، بررسی کردن
inspektion	بازرسی
inspektör	بازرس، کنترل کننده
inspelning	ضبط (نوارفیلم و غیره)
inspiration	الهام، وحی، دم، شهیق : کشیدن هوا به ریتین
inspirera	استنشاق کردن، دمیدن، الهام بخشیدن، روح بخشیدن
inspirerade	زمان گذشته از:، استنشاق کردن، دمیدن، الهام بخشیدن، روح بخشیدن
inspirerar	زمان حال از:، استنشاق کردن، دمیدن، الهام بخشیدن، روح بخشیدن
inspirerat	ماضی نقلی و بعید از:، استنشاق کردن، دمیدن، الهام بخشیدن، روح بخشیدن
installation	کارگزاری، نصب، سوارسازی
installera	کارگذاشتن، نصب کردن، سوار کردن، اختصاص دادن
installerade	زمان گذشته از:، کارگذاشتن، نصب کردن، سوار کردن، اختصاص دادن
installerar	زمان حال از:، کارگذاشتن، نصب کردن، سوار کردن، اختصاص دادن
installerat	ماضی نقلی و بعید از:، کارگذاشتن، نصب کردن، سوار کردن، اختصاص دادن
instans	مرحلهء حقوقی یا رسیدگی قضایی، اقامه دعوی
instifta	برپاکردن، تشکیل دادن، تقدیس کردن
instiftade	زمان گذشته از:، برپاکردن، تشکیل دادن، تقدیس کردن
instiftar	زمان حال از:، برپاکردن، تشکیل دادن، تقدیس کردن
